,tickerPair,month_id,ticker2,Date,ticker1,month,new_month,Spread1,Spread2,ratio,isPair,Spread1.log,Spread2.log,ratio.log
656,ABX|NEMCRP,31,NEMCRP,8/6/2013,ABX,8,FALSE,297.805,296.27,1.005181085,FALSE,5.69643891,5.691271201,1.000908006
657,ABX|NEMCRP,31,NEMCRP,8/7/2013,ABX,8,FALSE,309.54,311.6,0.99338896,FALSE,5.735087324,5.741720314,0.998844773
658,ABX|NEMCRP,31,NEMCRP,8/8/2013,ABX,8,FALSE,296.41,303.61,0.976285366,FALSE,5.691743631,5.715743983,0.99580101
659,ABX|NEMCRP,31,NEMCRP,8/9/2013,ABX,8,FALSE,295.39,301.685,0.979133865,FALSE,5.688296517,5.709383427,0.996306622
660,ABX|NEMCRP,31,NEMCRP,8/12/2013,ABX,8,FALSE,279.85,285.215,0.981189629,FALSE,5.634253745,5.653243282,0.996640948
661,ABX|NEMCRP,31,NEMCRP,8/13/2013,ABX,8,FALSE,279.52,283.065,0.987476375,FALSE,5.633073846,5.645676553,0.997767724
662,ABX|NEMCRP,31,NEMCRP,8/14/2013,ABX,8,FALSE,272.24,274.13,0.993105461,FALSE,5.60668403,5.613602446,0.998767562
663,ABX|NEMCRP,31,NEMCRP,8/15/2013,ABX,8,FALSE,266.43,267.32,0.996670657,FALSE,5.585111545,5.588446443,0.999403251
664,ABX|NEMCRP,31,NEMCRP,8/16/2013,ABX,8,FALSE,266.645,268.905,0.991595545,FALSE,5.585918186,5.594358157,0.998491342
665,ABX|NEMCRP,31,NEMCRP,8/19/2013,ABX,8,FALSE,275.805,274.735,1.003894662,FALSE,5.619694094,5.615806997,1.000692171
666,ABX|NEMCRP,31,NEMCRP,8/20/2013,ABX,8,FALSE,267.895,267.545,1.001308191,FALSE,5.590595113,5.589287776,1.0002339
667,ABX|NEMCRP,31,NEMCRP,8/21/2013,ABX,8,FALSE,268.63,268.165,1.001734007,FALSE,5.593334968,5.591602463,1.000309841
668,ABX|NEMCRP,31,NEMCRP,8/22/2013,ABX,8,FALSE,266.135,268.115,0.992615109,FALSE,5.584003699,5.591415993,0.998674344
669,ABX|NEMCRP,31,NEMCRP,8/23/2013,ABX,8,FALSE,258.47,258.625,0.999400677,FALSE,5.554779633,5.555379136,0.999892086
670,ABX|NEMCRP,31,NEMCRP,8/26/2013,ABX,8,FALSE,249.045,249.175,0.999478278,FALSE,5.517633603,5.518155461,0.999905429
671,ABX|NEMCRP,31,NEMCRP,8/27/2013,ABX,8,FALSE,242.515,243.275,0.996875963,FALSE,5.491063564,5.494192491,0.999430503
672,ABX|NEMCRP,31,NEMCRP,8/28/2013,ABX,8,FALSE,242.525,241.73,1.003288793,FALSE,5.491104798,5.487821401,1.000598306
673,ABX|NEMCRP,31,NEMCRP,8/29/2013,ABX,8,FALSE,241.14,241.965,0.996590416,FALSE,5.485377678,5.488793088,0.999377748
674,ABX|NEMCRP,31,NEMCRP,8/30/2013,ABX,8,FALSE,243.195,244.535,0.994520212,FALSE,5.493863591,5.499358448,0.999000818
675,ABX|NEMCRP,32,NEMCRP,9/2/2013,ABX,9,TRUE,241.5,242.8,0.994645799,FALSE,5.486869473,5.492238059,0.999022514
676,ABX|NEMCRP,32,NEMCRP,9/3/2013,ABX,9,FALSE,237.055,237.93,0.996322448,FALSE,5.468292182,5.471976513,0.999326691
677,ABX|NEMCRP,32,NEMCRP,9/4/2013,ABX,9,FALSE,241.28,240.17,1.004621726,FALSE,5.485958085,5.481347006,1.000841231
678,ABX|NEMCRP,32,NEMCRP,9/5/2013,ABX,9,FALSE,249.67,250.84,0.995335672,FALSE,5.520140046,5.524815286,0.999153774
